# point_id,primitive_gid,primitive_dir_gid
0,8,-1
1,8,-1
2,197,-1
3,8,-1
4,8,-1
5,24,-1
6,8,-1
7,8,-1
8,8,-1
9,8,-1
10,8,-1
11,24,-1
12,8,-1
13,8,-1
14,170,-1
15,8,-1
16,8,-1
17,8,-1
18,8,-1
19,8,-1
20,534,-1
21,8,-1
22,24,-1
23,24,-1
24,24,-1
25,24,-1
26,24,-1
27,8,-1
28,212,-1
29,24,-1
30,8,-1
31,8,-1
32,24,-1
33,24,-1
34,8,-1
35,8,-1
36,8,-1
37,8,-1
38,8,-1
39,8,-1
40,8,-1
41,8,-1
42,8,-1
43,8,-1
44,24,-1
45,24,-1
46,8,-1
47,8,-1
48,40,-1
49,8,-1
50,24,-1
51,24,-1
52,20,-1
53,24,-1
54,8,-1
55,8,-1
56,8,-1
57,305,-1
58,24,-1
59,24,-1
60,24,-1
61,24,-1
62,24,-1
63,335,-1
64,24,-1
65,24,-1
66,8,-1
67,8,-1
68,424,-1
69,584,-1
70,24,-1
71,8,-1
72,234,-1
73,24,-1
74,24,-1
75,8,-1
76,335,-1
77,335,-1
78,525,-1
79,24,-1
80,24,-1
81,8,-1
82,335,-1
83,335,-1
84,584,-1
85,8,-1
86,8,-1
87,8,-1
88,185,-1
89,24,-1
90,8,-1
91,8,-1
92,185,-1
93,24,-1
94,24,-1
95,24,-1
96,24,-1
97,297,-1
98,8,-1
99,8,-1
100,185,-1
101,24,-1
102,445,-1
103,188,-1
104,637,-1
105,297,-1
106,8,-1
107,8,-1
108,24,-1
109,188,-1
110,188,-1
111,297,-1
112,8,-1
113,8,-1
114,553,-1
115,189,-1
116,8,-1
117,188,-1
118,8,-1
119,8,-1
120,8,-1
121,8,-1
122,185,-1
123,52,-1
124,24,-1
125,24,-1
126,638,-1
127,8,-1
128,8,-1
129,23,-1
130,8,-1
131,8,-1
132,8,-1
133,8,-1
134,8,-1
135,8,-1
136,185,-1
137,189,-1
138,189,-1
139,52,-1
140,24,-1
141,23,-1
142,8,-1
143,8,-1
144,189,-1
145,438,-1
146,8,-1
147,8,-1
148,8,-1
149,189,-1
150,24,-1
151,52,-1
152,8,-1
153,8,-1
154,53,-1
155,53,-1
156,576,-1
157,8,-1
158,8,-1
159,8,-1
160,53,-1
